incident_id,road_id,incident_type,severity,date,latitude,longitude,description,data_source
INC001000,R0002,FALLEN_TREE,2,2023-12-15,25.917945,91.477229,Synthetic incident record,SYNTHETIC
INC001001,R0007,FALLEN_TREE,2,2023-04-10,24.892367,91.877841,Synthetic incident record,SYNTHETIC
INC001002,R0008,LANDSLIDE,4,2023-10-21,24.885249,91.900474,Synthetic incident record,SYNTHETIC
INC001003,R0009,ROAD_BLOCKAGE,3,2023-01-22,24.870314,91.868718,Synthetic incident record,SYNTHETIC
INC001004,R0011,ROAD_BLOCKAGE,4,2023-07-07,24.875841,91.874482,Synthetic incident record,SYNTHETIC
INC001005,R0013,FALLEN_TREE,1,2023-11-16,24.857477,91.934911,Synthetic incident record,SYNTHETIC
INC001006,R0013,FLOOD,2,2023-06-16,24.848407,91.936556,Synthetic incident record,SYNTHETIC
INC001007,R0013,ACCIDENT,4,2023-09-22,24.848461,91.92233,Synthetic incident record,SYNTHETIC
INC001008,R0015,ACCIDENT,2,2023-09-21,24.980892,92.051155,Synthetic incident record,SYNTHETIC
INC001009,R0016,ACCIDENT,5,2023-01-02,24.970104,92.026062,Synthetic incident record,SYNTHETIC
INC001010,R0018,ACCIDENT,4,2023-08-06,26.089688,91.609953,Synthetic incident record,SYNTHETIC
INC001011,R0020,FALLEN_TREE,2,2023-10-23,26.111273,91.712282,Synthetic incident record,SYNTHETIC
INC001012,R0022,FALLEN_TREE,1,2023-07-07,26.152453,91.647129,Synthetic incident record,SYNTHETIC
INC001013,R0025,ROAD_BLOCKAGE,3,2023-05-09,26.198274,91.848451,Synthetic incident record,SYNTHETIC
INC001014,R0027,FLOOD,1,2023-10-16,26.184495,91.845782,Synthetic incident record,SYNTHETIC
INC001015,R0027,FLOOD,1,2023-01-28,26.189638,91.839722,Synthetic incident record,SYNTHETIC
INC001016,R0028,ROAD_BLOCKAGE,3,2023-03-03,26.183526,91.847459,Synthetic incident record,SYNTHETIC
INC001017,R0030,FALLEN_TREE,2,2023-04-11,26.210424,91.652315,Synthetic incident record,SYNTHETIC
INC001018,R0030,FLOOD,2,2023-09-12,26.196111,91.636146,Synthetic incident record,SYNTHETIC
INC001019,R0031,ACCIDENT,5,2023-06-28,26.173877,91.673984,Synthetic incident record,SYNTHETIC
INC001020,R0032,ROAD_BLOCKAGE,5,2023-08-10,26.176053,91.674045,Synthetic incident record,SYNTHETIC
INC001021,R0033,ACCIDENT,2,2023-01-13,26.172626,91.675831,Synthetic incident record,SYNTHETIC
INC001022,R0034,ACCIDENT,4,2023-02-14,26.185687,91.66326,Synthetic incident record,SYNTHETIC
INC001023,R0035,FLOOD,4,2023-02-13,26.197368,91.566044,Synthetic incident record,SYNTHETIC
INC001024,R0038,LANDSLIDE,4,2023-08-13,26.153056,91.676715,Synthetic incident record,SYNTHETIC
INC001025,R0043,FLOOD,4,2023-05-17,26.115406,91.723045,Synthetic incident record,SYNTHETIC
INC001026,R0044,LANDSLIDE,1,2023-06-09,26.1191,91.823005,Synthetic incident record,SYNTHETIC
INC001027,R0044,ROAD_BLOCKAGE,1,2023-02-21,26.113662,91.822871,Synthetic incident record,SYNTHETIC
INC001028,R0047,ACCIDENT,5,2023-03-22,26.114609,91.831786,Synthetic incident record,SYNTHETIC
INC001029,R0051,ACCIDENT,3,2023-05-10,26.099912,91.801167,Synthetic incident record,SYNTHETIC
INC001030,R0052,FALLEN_TREE,4,2023-05-03,26.096818,91.803462,Synthetic incident record,SYNTHETIC
INC001031,R0053,LANDSLIDE,1,2023-07-17,26.100401,91.81043,Synthetic incident record,SYNTHETIC
INC001032,R0054,ACCIDENT,4,2023-07-06,26.094062,91.800325,Synthetic incident record,SYNTHETIC
INC001033,R0056,ACCIDENT,1,2023-12-12,26.123767,91.793233,Synthetic incident record,SYNTHETIC
INC001034,R0058,ROAD_BLOCKAGE,4,2023-05-08,26.148046,91.794398,Synthetic incident record,SYNTHETIC
INC001035,R0061,ACCIDENT,2,2023-05-31,26.167084,92.357292,Synthetic incident record,SYNTHETIC
INC001036,R0063,ACCIDENT,5,2023-03-01,26.147074,91.792959,Synthetic incident record,SYNTHETIC
INC001037,R0065,ROAD_BLOCKAGE,4,2023-01-09,25.399368,91.777191,Synthetic incident record,SYNTHETIC
INC001038,R0067,ACCIDENT,3,2023-04-26,25.444436,91.813822,Synthetic incident record,SYNTHETIC
INC001039,R0068,FLOOD,2,2023-04-09,25.620323,91.869549,Synthetic incident record,SYNTHETIC
INC001040,R0069,LANDSLIDE,4,2023-06-12,25.581137,91.870975,Synthetic incident record,SYNTHETIC
INC001041,R0071,ROAD_BLOCKAGE,1,2023-10-31,24.81066,92.797523,Synthetic incident record,SYNTHETIC
INC001042,R0071,ROAD_BLOCKAGE,5,2023-05-08,24.807096,92.786403,Synthetic incident record,SYNTHETIC
INC001043,R0071,FLOOD,5,2023-02-20,24.813571,92.797153,Synthetic incident record,SYNTHETIC
INC001044,R0071,LANDSLIDE,5,2023-10-13,24.808632,92.797908,Synthetic incident record,SYNTHETIC
INC001045,R0072,LANDSLIDE,1,2023-11-13,24.806121,92.796293,Synthetic incident record,SYNTHETIC
INC001046,R0073,ROAD_BLOCKAGE,4,2023-08-08,24.805425,92.790276,Synthetic incident record,SYNTHETIC
INC001047,R0076,ROAD_BLOCKAGE,4,2023-12-15,24.856052,92.499815,Synthetic incident record,SYNTHETIC
