road_id,name,highway,length_km,importance,status,geometry
R0001,,trunk,11.745529552363823,CRITICAL,OPEN,"LINESTRING (342653.434982 2824192.066903, 342666.226456 2824184.91505, 342707.326716 2824161.909811, 342729.698305 2824141.196762, 342752.570069 2824112.590476, 342797.964164 2824051.283372, 342816.160076 2824024.194515, 342819.460969 2824005.744382, 342821.849852 2823984.103502, 342831.728886 2823949.8012, 342841.786765 2823930.695533, 342870.394112 2823889.747828, 342921.525384 2823841.811114, 342978.755613 2823786.801774, 343013.689276 2823759.80454, 343053.700416 2823739.759986, 343100.934819 2823709.106839, 343152.263184 2823677.829764, 343176.319367 2823674.622822, 343194.578441 2823678.496191, 343212.398837 2823695.524042, 343250.487074 2823736.862416, 343270.734226 2823759.411822, 343288.308654 2823781.19501, 343299.474768 2823793.947465, 343313.09697 2823814.713576, 343320.480335 2823823.755053, 343327.70766 2823831.491189, 343340.016046 2823834.515079, 343352.479612 2823835.343764, 343371.469739 2823832.152253, 343403.739812 2823828.262279, 343429.822098 2823822.993721, 343457.982272 2823794.326801, 343487.259863 2823786.384412, 343514.589876 2823787.227405, 343532.207641 2823786.1459, 343557.158665 2823784.690517, 343570.943616 2823782.479708, 343584.372337 2823775.598274, 343596.543049 2823760.855305, 343607.812318 2823745.524704, 343626.229115 2823737.133739, 343691.620331 2823727.306876, 343726.938222 2823733.030755, 343761.628732 2823734.962399, 343783.892219 2823729.739215, 343807.571771 2823720.112728, 343825.104163 2823711.72131, 343854.200044 2823713.142559, 343895.969809 2823717.905254, 343925.798505 2823731.29312, 343955.82984 2823737.079361, 343982.803601 2823732.377535, 344029.312524 2823715.184633, 344064.381238 2823699.576613, 344081.094273 2823696.756122, 344098.8281 2823705.610734, 344111.279013 2823715.690175, 344116.173405 2823731.994855, 344131.843383 2823740.574491, 344152.982134 2823739.740751, 344170.548797 2823734.273915, 344177.450964 2823721.930373, 344180.797977 2823706.404686, 344184.988751 2823688.243741, 344190.416649 2823675.319208, 344199.09107 2823663.243032, 344224.858549 2823655.93036, 344245.915689 2823648.085535, 344284.154295 2823651.727456, 344338.276184 2823658.108923, 344359.466014 2823660.786555, 344379.534545 2823669.027213, 344402.385715 2823689.210488, 344420.794066 2823705.944983, 344432.919071 2823712.228851, 344451.702756 2823711.134992, 344465.813373 2823711.84584, 344484.580038 2823709.289969, 344510.655886 2823702.561379, 344518.195559 2823694.874325, 344521.865107 2823681.981488, 344523.721347 2823664.42389, 344528.640641 2823656.135911, 344536.715727 2823650.403393, 344546.06296 2823647.746753, 344556.03165 2823650.987302, 344571.282519 2823662.44144, 344588.227597 2823666.59784, 344604.718858 2823669.762547, 344616.172764 2823669.341302, 344626.01026 2823669.082875, 344632.604756 2823668.275054, 344666.406946 2823656.926149, 344690.929096 2823643.635842, 344703.694455 2823642.75632, 344715.743141 2823643.347395, 344733.451075 2823650.009745, 344748.250828 2823659.851976, 344760.60615 2823660.882635, 344774.076331 2823657.513587, 344786.055378 2823652.112507, 344797.691061 2823637.919746, 344803.126224 2823635.087185, 344808.708241 2823634.512767, 344814.034084 2823635.248494, 344838.265298 2823644.493851, 344864.768671 2823650.323095, 344904.166002 2823653.366205, 344956.786057 2823655.967948, 344997.921946 2823657.251961, 345012.06635 2823660.876424, 345032.668534 2823679.635633, 345040.650876 2823682.356769, 345050.625426 2823682.650949, 345062.439737 2823681.239993, 345076.587491 2823676.489765, 345108.712681 2823660.054644, 345154.036917 2823641.993283, 345168.384937 2823638.038428, 345232.88933 2823627.055249, 345269.270835 2823623.133292, 345288.366363 2823623.787277, 345318.749445 2823633.959234, 345351.457125 2823642.631019, 345376.726907 2823643.512755, 345403.440099 2823641.442257, 345467.955046 2823632.232525, 345485.447982 2823620.343277, 345509.942232 2823604.573457, 345526.835487 2823592.104086, 345543.237034 2823587.527707, 345590.39519 2823575.882786, 345629.071176 2823566.961444, 345642.816499 2823563.025153, 345663.597434 2823563.394343, 345689.501393 2823576.532294, 345700.719778 2823576.602121, 345716.679233 2823572.906198, 345725.55142 2823568.261914, 345747.361678 2823549.831682, 345764.917454 2823540.744737, 345852.101125 2823499.449206, 345898.896028 2823489.382625, 345961.839282 2823490.240874, 345997.587755 2823484.555814, 346028.89521 2823470.303645, 346056.401565 2823456.782163, 346109.068465 2823428.525705, 346143.15457 2823412.015216, 346162.939916 2823398.361329, 346172.101215 2823382.137929, 346178.087492 2823360.788924, 346179.690488 2823337.629348, 346189.734935 2823308.180213, 346217.21933 2823259.521186, 346234.244299 2823240.936431, 346260.487947 2823211.090483, 346286.153363 2823166.79498, 346301.809197 2823136.649985, 346320.452536 2823114.546224, 346358.621693 2823091.99642, 346398.333032 2823068.055385, 346431.516603 2823050.747428, 346453.731386 2823047.246414, 346493.627392 2823045.480889, 346500.733182 2823045.399262, 346528.965378 2823045.074986, 346533.526069 2823045.69834, 346555.182093 2823048.684301, 346596.186388 2823057.65161, 346646.416512 2823071.719622, 346687.454209 2823083.6113, 346735.941323 2823088.582791, 346764.706387 2823085.649666, 346777.053228 2823078.030722, 346788.705648 2823066.830619, 346807.196491 2823053.270149, 346830.371257 2823048.451608, 346861.200752 2823054.611873, 346892.664719 2823059.125457, 346911.296294 2823056.962341, 346922.090636 2823056.838681, 346982.809131 2823044.101941, 347028.250837 2823040.324862, 347067.53351 2823041.182379, 347130.010632 2823039.813919, 347245.725879 2823029.052568, 347307.179769 2823023.465016, 347384.712864 2823021.936799, 347413.19844 2823023.561147, 347438.798611 2823030.42494, 347483.190194 2823049.12665, 347504.302709 2823063.530198, 347517.940327 2823083.546762, 347525.702132 2823103.96271, 347536.266366 2823140.940833, 347544.990696 2823159.385084, 347543.311992 2823209.596549, 347542.330524 2823225.769872, 347544.554053 2823231.238959, 347550.648085 2823234.116053, 347572.095587 2823235.621617, 347601.473846 2823234.477848, 347639.761825 2823235.436973, 347670.283567 2823242.898635, 347700.55895 2823257.85158, 347753.688192 2823268.955047, 347785.457026 2823271.196316, 347809.111557 2823279.390092, 347844.43582 2823306.980682, 347874.464306 2823329.414139, 347892.564485 2823337.992542, 347912.263168 2823343.949556, 347943.098775 2823350.765748, 347963.45812 2823357.368889, 347971.100506 2823367.362467, 347974.491723 2823377.415498, 347977.248887 2823397.999383, 347988.269997 2823410.768215, 348000.864575 2823419.597713, 348018.725557 2823423.072263, 348040.245852 2823423.060109, 348055.420652 2823414.834173, 348078.825147 2823397.541892, 348103.645355 2823382.759233, 348137.556663 2823374.553027, 348162.552187 2823375.18838, 348182.942811 2823377.482342, 348208.889123 2823380.411099, 348231.861708 2823386.131982, 348242.383648 2823395.683126, 348252.674291 2823405.225826, 348265.970077 2823414.745482, 348283.828723 2823418.907214, 348310.48675 2823423.445394, 348325.768314 2823423.726082, 348340.390865 2823427.935702, 348350.829088 2823430.121339, 348368.648587 2823430.838524, 348408.161926 2823426.468708, 348440.291482 2823423.345904, 348470.296675 2823417.256349, 348507.046745 2823413.848678, 348523.24815 2823414.584416, 348552.683457 2823420.287957, 348578.680549 2823439.245968, 348600.347433 2823457.499825, 348651.755212 2823504.018834, 348695.555738 2823561.36933, 348701.379804 2823590.149135, 348695.131287 2823618.855193, 348686.036718 2823633.225996, 348673.942463 2823648.096039, 348655.191638 2823667.173405, 348643.092178 2823681.578285, 348625.980704 2823703.39542, 348622.872355 2823714.707524, 348624.158511 2823726.20246, 348628.205051 2823735.594627, 348634.498197 2823740.120478, 348646.582783 2823744.813341, 348661.906098 2823749.702152, 348672.285488 2823750.271376, 348680.608678 2823748.559781, 348688.490965 2823744.305365, 348725.742046 2823725.749648, 348743.381935 2823721.296156, 348761.456508 2823722.387586, 348771.195679 2823725.002392, 348779.352775 2823730.81435, 348785.90295 2823738.516596, 348788.278417 2823748.581292, 348792.675273 2823804.029699, 348797.912661 2823848.490812, 348802.388022 2823875.358435, 348816.463973 2823920.14046, 348841.204908 2823948.11912, 348887.866009 2823968.88209, 348955.351277 2823986.83975, 349013.069376 2823993.476188, 349047.281734 2823986.221481, 349082.719565 2823950.428538, 349196.014493 2823862.168776, 349212.342192 2823852.77909, 349246.621594 2823836.285566, 349264.362244 2823829.184114, 349284.936302 2823827.334665, 349324.040891 2823827.812958, 349377.941268 2823827.437726, 349407.075686 2823826.189827, 349443.414339 2823827.397529, 349472.335394 2823826.838979, 349486.442864 2823826.447392, 349500.046608 2823822.383783, 349525.366006 2823810.821715, 349545.610529 2823800.236281, 349564.162257 2823783.92075, 349590.406374 2823772.3484, 349613.268833 2823768.413295, 349731.120794 2823755.123464, 349750.737169 2823751.225113, 349769.924473 2823749.392019, 349790.956156 2823748.003467, 349808.317683 2823748.273514, 349820.835693 2823750.436887, 349838.238832 2823755.303637, 349860.051557 2823760.80765, 349874.9068 2823765.237831, 349880.456707 2823764.488663, 349904.937277 2823760.535879, 349923.156333 2823755.72298, 349938.863864 2823753.707674, 349955.560286 2823756.511036, 349975.98123 2823762.496119, 349994.588759 2823770.79462, 350009.921779 2823776.60426, 350020.117912 2823777.87446, 350038.102092 2823793.324952, 350047.320633 2823810.480086, 350058.647826 2823830.137206, 350078.013555 2823845.106988, 350100.342498 2823855.435338, 350114.774023 2823863.326683, 350125.689364 2823866.892991, 350143.066111 2823868.536892, 350156.228301 2823866.317764, 350169.374966 2823862.714147, 350185.911578 2823852.182375, 350195.084915 2823844.713021, 350208.333838 2823829.609946, 350216.097092 2823820.084944, 350224.133116 2823815.165091, 350241.568044 2823810.339265, 350254.653021 2823810.192579, 350283.898931 2823821.584667, 350310.235665 2823835.280284, 350339.237181 2823854.473718, 350369.639136 2823881.150924, 350380.964672 2823898.91407, 350390.677737 2823918.988307, 350404.797439 2823981.627962, 350418.538131 2824040.051383, 350426.385992 2824068.598584, 350436.347546 2824082.156552, 350446.153779 2824089.025514, 350464.924838 2824092.249348, 350489.079854 2824087.093815, 350506.597953 2824073.560551, 350520.1574 2824057.457347, 350534.296502 2824033.870431, 350550.009064 2824005.380797, 350564.156444 2823983.422205, 350577.135673 2823973.839069, 350595.379967 2823966.800243, 350608.694592 2823957.545711, 350625.534231 2823941.738268, 350649.23062 2823925.200618, 350679.133416 2823907.29758, 350700.198776 2823889.161063, 350718.774888 2823882.118709, 350743.649067 2823882.815565, 350774.708672 2823881.172504, 350788.107011 2823879.394461, 350801.14105 2823874.696072, 350821.965763 2823864.693245, 350894.738834 2823846.965595, 350907.769228 2823841.935034, 350938.066674 2823830.530623, 350951.179815 2823832.012677, 350965.297651 2823837.061527, 350981.154468 2823850.232859, 350996.222193 2823880.970643, 351015.648553 2823892.473822, 351035.683695 2823899.085119, 351105.599105 2823889.188954, 351134.677251 2823885.619201, 351166.377847 2823881.06764, 351180.243854 2823877.058233, 351191.94828 2823871.189768, 351206.30068 2823863.020961, 351214.030302 2823852.223058, 351217.376469 2823839.513289, 351220.064962 2823826.412061, 351222.193251 2823811.744089, 351225.599042 2823794.458711, 351233.620282 2823780.057435, 351246.805019 2823759.085181, 351263.598523 2823739.04757, 351274.250825 2823726.234323, 351286.231465 2823715.366991, 351298.645115 2823713.600436, 351312.740302 2823715.714404, 351326.171513 2823716.872048, 351337.001382 2823720.008266, 351356.625204 2823719.45758, 351376.450425 2823707.195923, 351424.913998 2823681.599879, 351452.022062 2823677.077953, 351472.620001 2823675.541803, 351534.916378 2823687.21165, 351562.132878 2823692.447881, 351579.638071 2823706.565308, 351607.335066 2823726.10821, 351643.227114 2823746.867278, 351674.376514 2823752.381293, 351719.960604 2823761.634371, 351745.49165 2823762.647052, 351764.09016 2823757.566633, 351796.0193 2823745.492554, 351831.481496 2823727.530538, 351883.741209 2823718.809175, 351908.61194 2823719.187008, 351991.143884 2823734.788634, 352005.203014 2823739.10811, 352023.084661 2823744.614841, 352048.756374 2823757.423885, 352082.814966 2823779.699831, 352107.894396 2823801.665403, 352161.996614 2823864.993715, 352176.629125 2823877.548536, 352189.039505 2823882.761548, 352208.928996 2823884.446776)"
R0002,,secondary,21.443377575881293,MEDIUM,OPEN,"LINESTRING (346935.6243 2868190.564475, 346927.094123 2868276.863542, 346920.474314 2868307.937608, 346826.778334 2868614.213836, 346787.303382 2868731.195533, 346750.610885 2868810.179814, 346732.397873 2868860.632358, 346695.417722 2869052.93947, 346684.929425 2869121.47016, 346592.349165 2869475.815622, 346581.099795 2869524.580716, 346582.046842 2869559.299945, 346588.506065 2869606.26263, 346601.099068 2869672.374331, 346603.131741 2869681.733832, 346669.413894 2869987.737538, 346720.373416 2870223.030908, 346767.573595 2870399.897365, 346782.031242 2870441.415851, 346827.695674 2870573.544292, 346877.122361 2870716.574222, 346889.879595 2870750.623768, 346900.539946 2870789.516853, 346970.500742 2871167.033208, 346975.605784 2871189.949897, 346985.51264 2871210.672422, 347002.371915 2871228.112177, 347005.263868 2871230.471319, 347325.653656 2871491.516071, 347392.440586 2871552.189121, 347400.37809 2871559.541261, 347869.829309 2871994.408714, 347910.541329 2872030.804364, 347972.39946 2872084.048423, 348288.964002 2872339.974349, 348315.136528 2872361.12975, 348319.596856 2872374.438414, 348313.83134 2872386.790895, 348187.345756 2872505.806953, 348155.377615 2872528.079101, 348101.874516 2872547.399433, 348050.449963 2872560.281595, 348031.748581 2872568.519174, 348023.901289 2872574.902644, 348015.77634 2872581.521983, 348005.265666 2872600.886806, 347698.840582 2873321.983631, 347684.118841 2873349.407344, 347667.213316 2873374.175546, 347651.258777 2873387.721523, 347619.793319 2873407.319482, 347594.235248 2873426.848766, 347568.208878 2873451.734353, 347442.567389 2873595.309475, 347419.318246 2873628.172627, 347332.549522 2873779.228123, 347301.909504 2873832.561734, 347280.272972 2873865.395304, 347269.922618 2873899.171844, 347269.730994 2873929.096502, 347274.928208 2873960.02181, 347379.964387 2874261.178367, 347397.28428 2874306.463839, 347401.518723 2874317.537063, 347527.323246 2874553.112817, 347797.557626 2875036.746393, 348031.958384 2875456.480428, 348931.138632 2877049.817704, 349021.953614 2877210.754701, 349538.340012 2878125.922274, 350076.014733 2879131.593199, 350704.287454 2880067.262685, 350962.89577 2880492.535938, 351009.099436 2880568.503496, 351096.954911 2880702.300571, 351262.25195 2880954.02908, 351499.587824 2881219.884119, 351999.62978 2881751.672466, 352250.676273 2882615.836626, 352480.924324 2883334.307415, 352529.180034 2883490.705808, 352538.273301 2883510.000825, 352551.098701 2883529.297964, 352573.200335 2883551.337332, 352896.458215 2883800.93321, 352881.832294 2884122.142607, 352880.81538 2884144.631625, 352880.628143 2884151.092293, 352881.250395 2884215.105842, 352885.620754 2884253.065628, 352888.801771 2884311.533397, 352876.060953 2884474.28215, 352868.749352 2884610.980357, 352865.456362 2884635.677479, 352867.376234 2884665.721901, 352881.423821 2884718.09593, 352902.15868 2884789.459997, 352930.25261 2884901.242764, 352975.384602 2885027.279282, 353146.973994 2885416.292471, 353263.679529 2885676.255812, 353369.555043 2885940.529426, 353582.755559 2886472.71825, 353624.479757 2886576.871258, 353642.483176 2886655.877641, 353655.907475 2886716.412845, 353659.982181 2886773.696429)"
R0003,,trunk,0.3692836552538173,CRITICAL,OPEN,"LINESTRING (386670.746938 2753417.172442, 386676.336765 2753404.124512, 386687.586062 2753355.834129, 386695.947017 2753339.496295, 386813.143269 2753196.573823, 386863.853635 2753128.910131, 386873.276051 2753113.84837)"
R0004,New Medical Road,tertiary,0.602614467879646,LOW,OPEN,"LINESTRING (383850.877009 2754468.917066, 383845.406616 2754478.997212, 383846.316249 2754495.790225, 383847.32356 2754506.214315, 383850.645662 2754521.613643, 383862.497923 2754547.151978, 383876.736936 2754579.016098, 383888.272969 2754598.222253, 383900.624185 2754615.882109, 383913.821338 2754627.266407, 383919.900971 2754636.695202, 383920.619308 2754638.029203, 383923.256889 2754642.957424, 383926.22555 2754654.793618, 383927.446952 2754663.067363, 383928.096841 2754668.256026, 383928.529476 2754671.641306, 383929.441037 2754677.913103, 383929.936995 2754685.207306, 383931.458132 2754695.483086, 383932.952698 2754702.613805, 383934.514776 2754705.779121, 383940.125736 2754717.127849, 383948.586346 2754732.206919, 383974.08581 2754773.445106, 383979.888617 2754781.203945, 383982.779778 2754785.06684, 383997.651811 2754805.828624, 384027.444008 2754845.889937, 384033.426496 2754854.599725, 384035.686655 2754857.903133, 384045.62871 2754871.408184, 384059.893162 2754890.812938, 384068.905414 2754903.063307, 384085.458556 2754925.571908, 384090.240128 2754930.825392, 384094.735252 2754935.649371, 384100.101311 2754940.742878, 384110.239301 2754949.949239, 384117.765149 2754956.032354, 384124.127541 2754960.696617, 384132.071506 2754966.056342, 384142.401103 2754972.835695)"
R0005,,secondary,1.0258098026008005,MEDIUM,OPEN,"LINESTRING (386743.271612 2753765.885956, 386719.270425 2753772.008775, 386664.168989 2753784.523498, 386635.586162 2753792.400845, 386627.032112 2753793.855753, 386599.846763 2753798.476723, 386532.191123 2753809.977008, 386524.934515 2753810.745704, 386429.201106 2753820.307665, 386376.781386 2753828.471138, 386354.899556 2753831.885899, 386330.094256 2753837.240821, 386302.747271 2753841.841573, 386276.613169 2753844.084477, 386220.221801 2753845.913377, 386198.760146 2753847.608309, 386168.7526 2753850.514757, 386140.060189 2753852.43579, 386087.775358 2753853.68855, 386068.362075 2753851.457286, 386042.305974 2753847.265498, 386015.438757 2753836.623841, 385911.692452 2753797.172084, 385894.999361 2753792.869632, 385879.955856 2753792.584754, 385850.763248 2753801.188683, 385815.854762 2753806.329425, 385776.923036 2753800.185175, 385739.570251 2753787.128263)"
R0006,Airport Rd,secondary,5.380303787839176,MEDIUM,OPEN,"LINESTRING (385546.035168 2759935.761849, 385570.297921 2759901.847145, 385618.513185 2759852.46028, 385627.145511 2759842.69768, 385630.699421 2759839.035449, 385696.159637 2759771.319972, 385739.715872 2759722.526171, 385777.360247 2759670.669711, 385787.869001 2759647.346932, 385805.468893 2759611.029568, 385811.724249 2759554.66137, 385815.574381 2759517.43964, 385822.590501 2759473.60196, 385858.800145 2759410.59419, 385875.258392 2759383.844126, 385902.485701 2759328.586186, 385922.375885 2759278.60564, 385934.400495 2759252.93359, 385958.084987 2759218.426465, 385995.910989 2759173.568588, 386006.982233 2759155.867418, 386014.98068 2759139.000266, 386022.322993 2759116.080584, 386023.151448 2759093.048915, 386018.530605 2759061.922457, 386011.076425 2759021.571981, 386002.998304 2758997.27427, 385993.598575 2758977.982342, 385978.262765 2758957.643349, 385959.832342 2758936.743128, 385945.681443 2758915.619071, 385932.230295 2758893.647512, 385915.986681 2758857.66725, 385907.88596 2758831.89681, 385898.572556 2758787.807447, 385890.584078 2758739.122046, 385889.505185 2758706.537496, 385888.428572 2758682.724274, 385885.817086 2758658.912745, 385880.035833 2758642.503492, 385868.497121 2758623.473082, 385846.078983 2758591.841339, 385816.240991 2758542.285695, 385797.210718 2758502.795847, 385778.286537 2758450.591116, 385770.558913 2758426.024807, 385764.366116 2758412.365606, 385758.068692 2758404.333344, 385745.775691 2758391.777068, 385723.065281 2758376.051542, 385674.016106 2758355.15202, 385631.084091 2758333.991247, 385612.332026 2758321.909777, 385595.448429 2758306.235545, 385514.641224 2758146.322993, 385499.962086 2758081.435596, 385493.622453 2758038.130119, 385492.149656 2758025.007534, 385496.327469 2758008.925085, 385502.805098 2757982.844929, 385517.882094 2757963.481965, 385555.889915 2757923.195471, 385614.567332 2757870.52113, 385637.51941 2757846.064652, 385664.537688 2757812.692244, 385691.457432 2757763.83797, 385753.921898 2757634.605029, 385789.016213 2757523.131791, 385801.276315 2757489.173742, 385817.019174 2757444.122888, 385860.639206 2757336.433052, 385888.301512 2757288.01609, 385912.669655 2757258.786173, 385938.873839 2757232.95212, 385962.493231 2757216.896592, 385982.598099 2757189.883993, 385998.132423 2757160.949129, 386016.711263 2757124.059372, 386061.82828 2757016.324683, 386072.223916 2756991.209122, 386085.3027 2756959.614637, 386107.022931 2756915.422759, 386132.370801 2756872.673794, 386138.194312 2756773.593765, 386138.802051 2756770.155506, 386142.843666 2756760.641875, 386177.918595 2756699.738128, 386189.158502 2756675.291254, 386216.608595 2756615.580481, 386318.694093 2756461.967824, 386321.55222 2756455.864048, 386325.914044 2756443.523738, 386328.071823 2756433.33913, 386329.793091 2756420.444789, 386324.55693 2756338.157455, 386324.88618 2756327.910462, 386325.378263 2756312.933147, 386320.533493 2756291.344011, 386303.12883 2756212.922899, 386289.314122 2756163.122798, 386248.232362 2756055.095326, 386241.490747 2756038.638522, 386226.914847 2756003.06493, 386218.007866 2755978.818285, 386205.288082 2755944.203924, 386199.300805 2755921.284232, 386187.159011 2755874.770673, 386184.029652 2755862.780361, 386144.832169 2755806.800563, 386134.953286 2755792.053196, 386120.9633 2755771.171215, 386093.441135 2755718.860203, 386069.270388 2755663.918842, 386032.853702 2755559.762668, 386025.849552 2755539.719873, 386021.920737 2755500.791036, 386013.203517 2755414.291017, 386009.957715 2755321.355396, 386002.161938 2755296.003239, 385997.978531 2755282.393704, 385974.099984 2755227.49436, 385959.303118 2755193.462258)"
R0007,,secondary,0.890648562769715,MEDIUM,OPEN,"LINESTRING (386361.863635 2754290.515399, 386355.783028 2754230.695026, 386350.311907 2754195.721585, 386343.253058 2754169.078492, 386305.636829 2754109.330705, 386289.286218 2754088.9775, 386232.643655 2754028.612088, 386231.166523 2754025.888826, 386224.221872 2754013.077333, 386222.714241 2754004.22993, 386213.955808 2753952.915112, 386202.376528 2753896.418473, 386198.760146 2753847.608309, 386196.426897 2753778.088624, 386193.386663 2753731.765539, 386191.801004 2753629.31414, 386184.936259 2753560.297134, 386182.234768 2753525.610922, 386181.934762 2753445.453646)"
R0008,Shahjalal Uposhahar Main Road,primary,1.676856855689871,HIGH,OPEN,"LINESTRING (387954.524219 2753803.81312, 387965.348347 2753779.703676, 387979.867182 2753746.615706, 387986.286874 2753715.033475, 387985.953986 2753677.902435, 387983.236492 2753659.285718, 387982.557453 2753619.344505, 387991.656954 2753590.586667, 387996.714852 2753581.541656, 388008.938145 2753560.510729, 388023.062676 2753522.375941, 388022.980033 2753448.984044, 388012.281638 2753368.291749, 388001.217207 2753341.879938, 387992.297146 2753315.816131, 387980.331273 2753284.162233, 387978.791376 2753279.899916, 387960.363306 2753227.544554, 387943.894709 2753170.211742, 387940.379327 2753159.065942, 387927.610011 2753118.104744, 387917.122678 2753085.696832, 387913.913665 2753078.679433, 387909.841355 2753072.33356, 387903.761074 2753068.750603, 387896.398468 2753065.244553, 387888.307133 2753062.807628, 387852.779802 2753061.724093, 387806.177921 2753060.299097, 387791.112104 2753059.835079, 387785.544845 2753059.703318, 387742.796597 2753058.867274, 387655.238858 2753057.145975, 387637.668717 2753056.802261, 387510.24488 2753055.872879, 387477.794238 2753041.918377, 387464.972608 2753035.478109, 387412.087704 2753005.754389, 387327.010025 2752957.866165, 387283.827502 2752932.449032, 387238.503292 2752908.278894, 387209.934534 2752892.266474, 387193.720036 2752883.57287, 387143.34125 2752856.553977, 387107.627018 2752835.251277, 387063.082984 2752810.211451)"
R0009,Dhaka Sylhet Highway,trunk,0.34711098318988604,CRITICAL,OPEN,"LINESTRING (386690.933227 2752146.203618, 386701.34404 2752166.440137, 386725.017856 2752210.99846, 386745.460709 2752248.44017, 386772.939214 2752299.911144, 386802.103558 2752353.705076, 386852.26538 2752453.508253)"
R0010,Kilo Road,tertiary,0.8949112717956943,LOW,OPEN,"LINESTRING (382073.19068 2755603.400087, 382072.916289 2755634.966296, 382072.964964 2755646.517141, 382073.000157 2755655.321493, 382072.531507 2755670.143916, 382071.854553 2755686.585084, 382071.284437 2755701.353004, 382070.35598 2755727.320865, 382069.084232 2755770.945285, 382067.986629 2755799.561535, 382067.033204 2755827.323771, 382065.40092 2755856.011065, 382064.257504 2755879.289543, 382052.685734 2756111.300306, 382048.006519 2756205.0243, 382047.444995 2756217.255974, 382046.855682 2756234.482732, 382044.747776 2756274.802932, 382044.434738 2756279.512516, 382044.255018 2756282.10562, 382041.526481 2756325.421418, 382038.885926 2756367.219183, 382030.032567 2756472.319935, 382027.952012 2756497.001948)"
