edge_id,from_node_id,to_node_id,road_id,distance_m,status
1,N001000,N001001,R0001,11745.529552363823,OPEN
2,N001001,N001000,R0001,11745.529552363823,OPEN
3,N001002,N001003,R0002,21443.37757588129,OPEN
4,N001003,N001002,R0002,21443.37757588129,OPEN
5,N001004,N001005,R0003,369.2836552538173,OPEN
6,N001005,N001004,R0003,369.2836552538173,OPEN
7,N001006,N001007,R0004,602.614467879646,OPEN
8,N001007,N001006,R0004,602.614467879646,OPEN
9,N001008,N001009,R0005,1025.8098026008004,OPEN
10,N001009,N001008,R0005,1025.8098026008004,OPEN
11,N001010,N001011,R0006,5380.303787839176,OPEN
12,N001011,N001010,R0006,5380.303787839176,OPEN
13,N001012,N001013,R0007,890.648562769715,OPEN
14,N001013,N001012,R0007,890.648562769715,OPEN
15,N001014,N001015,R0008,1676.856855689871,OPEN
16,N001015,N001014,R0008,1676.856855689871,OPEN
17,N001016,N001017,R0009,347.110983189886,OPEN
18,N001017,N001016,R0009,347.110983189886,OPEN
19,N001018,N001019,R0010,894.9112717956943,OPEN
20,N001019,N001018,R0010,894.9112717956943,OPEN
21,N001020,N001021,R0011,313.8035512595848,OPEN
22,N001021,N001020,R0011,313.8035512595848,OPEN
23,N001022,N001023,R0012,3107.5497149441603,OPEN
24,N001023,N001022,R0012,3107.5497149441603,OPEN
25,N001024,N001025,R0013,642.6200025616396,OPEN
26,N001025,N001024,R0013,642.6200025616396,OPEN
27,N001026,N001027,R0014,1323.220217514839,OPEN
28,N001027,N001026,R0014,1323.220217514839,OPEN
29,N001028,N001029,R0015,1435.3387499734213,OPEN
30,N001029,N001028,R0015,1435.3387499734213,OPEN
31,N001030,N001031,R0016,1438.5288837166609,OPEN
32,N001031,N001030,R0016,1438.5288837166609,OPEN
33,N001032,N001033,R0017,1237.8732320309455,OPEN
34,N001033,N001032,R0017,1237.8732320309455,OPEN
35,N001034,N001035,R0018,7277.557920266433,OPEN
36,N001035,N001034,R0018,7277.557920266433,OPEN
37,N001036,N001037,R0019,1654.3530268258792,OPEN
38,N001037,N001036,R0019,1654.3530268258792,OPEN
39,N001036,N001037,R0020,1654.3530268258792,OPEN
40,N001037,N001036,R0020,1654.3530268258792,OPEN
41,N001038,N001039,R0021,4555.964820018309,OPEN
42,N001039,N001038,R0021,4555.964820018309,OPEN
43,N001040,N001041,R0022,5040.396437560084,OPEN
44,N001041,N001040,R0022,5040.396437560084,OPEN
45,N001042,N001043,R0023,2196.7304019864523,OPEN
46,N001043,N001042,R0023,2196.7304019864523,OPEN
47,N001044,N001045,R0024,10086.309983902494,OPEN
48,N001045,N001044,R0024,10086.309983902494,OPEN
49,N001046,N001047,R0025,2532.8600694698735,OPEN
50,N001047,N001046,R0025,2532.8600694698735,OPEN
51,N001048,N001049,R0026,4248.992908789049,OPEN
52,N001049,N001048,R0026,4248.992908789049,OPEN
53,N001050,N001051,R0027,39.2430220588513,OPEN
54,N001051,N001050,R0027,39.2430220588513,OPEN
55,N001052,N001050,R0028,785.8202254422374,OPEN
56,N001050,N001052,R0028,785.8202254422374,OPEN
57,N001053,N001054,R0029,3782.4837967792287,OPEN
