node_id,latitude,longitude
N001000,2824192.066903,342653.434982
N001001,2823884.446776,352208.928996
N001002,2868190.564475,346935.6243
N001003,2886773.696429,353659.982181
N001004,2753417.172442,386670.746938
N001005,2753113.84837,386873.276051
N001006,2754468.917066,383850.877009
N001007,2754972.835695,384142.401103
N001008,2753765.885956,386743.271612
N001009,2753787.128263,385739.570251
N001010,2759935.761849,385546.035168
N001011,2755193.462258,385959.303118
N001012,2754290.515399,386361.863635
N001013,2753445.453646,386181.934762
N001014,2753803.81312,387954.524219
N001015,2752810.211451,387063.082984
N001016,2752146.203618,386690.933227
N001017,2752453.508253,386852.26538
N001018,2755603.400087,382073.19068
N001019,2756497.001948,382027.952012
N001020,2751964.909024,386396.872207
N001021,2752278.20487,386399.5305
N001022,2751254.302367,389369.584749
N001023,2752140.234825,386496.10421
N001024,2749666.280085,391667.674416
N001025,2750279.729625,391857.129315
N001026,2756079.558892,393923.245517
N001027,2755760.441622,392639.47349
N001028,2764203.914633,403415.705401
N001029,2765453.628343,403934.609505
N001030,2762151.717384,402284.206776
N001031,2763420.28289,402887.702046
N001032,2896405.987403,367285.836101
N001033,2895169.284979,367339.662241
N001034,2886467.106871,361195.648353
N001035,2888461.759626,366452.859038
N001036,2887885.304372,370740.88665
N001037,2887462.695658,371961.466205
N001038,2892025.143388,367626.476751
N001039,2889331.332187,370342.412454
N001040,2893168.945152,365492.272578
N001041,2893556.69984,367697.723846
N001042,2890897.829914,381232.348679
N001043,2891023.381632,383381.809837
N001044,2893955.512704,393585.488037
N001045,2893646.037902,384052.243582
N001046,2898810.916289,385939.14316
N001047,2896947.72881,384529.599623
N001048,2895977.571311,383016.808556
N001049,2892781.975691,381223.041219
N001050,2896401.309664,383810.652015
N001051,2896382.087456,383776.43913
N001052,2896910.981311,384376.005884
N001053,2896798.070302,366778.863297
N001054,2898592.868825,364043.724993
N001055,2898649.057247,364652.258606
N001056,2898430.997707,364136.917339
N001057,2896657.094369,367222.04867
N001058,2896843.806715,366836.363116
N001059,2896658.449257,367292.086706
N001060,2896408.73671,368097.103014
N001061,2897380.075889,367218.905021
N001062,2896836.023004,366841.380547
N001063,2898526.508912,355960.555029
N001064,2900845.610112,362551.405311
N001065,2897038.200646,371183.281593
N001066,2897588.911037,371830.123943
N001067,2896847.057675,370261.922537
N001068,2893815.162654,367443.422143
N001069,2893813.318716,367227.016727
N001070,2893926.144839,368952.353684
N001071,2893827.014068,367432.726287
N001072,2893933.22979,368919.88526
N001073,2893956.434552,369444.725306
N001074,2893927.284637,368962.352093
N001075,2888976.853731,372590.0431
N001076,2888701.773665,373864.571761
N001077,2889128.109301,371939.445622
N001078,2889122.199866,371975.999131
N001079,2889367.767272,381916.634822
N001080,2889297.654278,381633.391893
N001081,2888675.635771,374213.192918
N001082,2888655.662625,374913.208411
N001083,2889417.246826,382282.225633
N001084,2889425.597634,382248.082013
N001085,2889924.317414,381820.112652
N001086,2889332.609743,381701.958927
N001087,2885760.090379,378924.745434
N001088,2887332.545716,379926.158195
N001089,2887518.49507,379760.480714
N001090,2887532.294509,379745.156106
N001091,2887230.910452,380223.686948
N001092,2887553.07061,379714.443954
N001093,2887575.930486,380415.824583
N001094,2888483.88782,379966.818931
N001095,2887339.142414,380954.557195
N001096,2888566.697643,379782.182954
N001097,2889915.269156,379957.034119
N001098,2889833.517857,380542.15239
N001099,2889918.022081,379897.602596
N001100,2889893.067327,380066.693722
N001101,2889897.325622,379907.70099
N001102,2892604.86349,378816.794009
N001103,2893067.218151,378354.86054
N001104,2894278.769562,377178.995152
N001105,2894318.926864,377143.598498
N001106,2889933.880798,374874.267931
N001107,2893879.90732,374192.768876
N001108,2894256.560146,435377.924673
N001109,2894134.315359,435421.501391
N001110,2890566.27255,381099.204269
N001111,2889470.67366,382275.779236
N001112,2893070.689915,378360.2815
N001113,2892605.876105,378826.990872
N001114,2889480.534745,382248.559236
N001115,2890560.187801,381093.529232
N001116,2810226.894524,376604.02281
N001117,2794439.525508,372572.240789
N001118,2815606.535197,381420.560023
N001119,2812294.764626,378500.389684
N001120,2833069.384959,386926.26564
N001121,2830500.164021,386850.425512
N001122,2829439.926107,387158.598451
N001123,2829202.367217,387775.601632
N001124,2742753.934728,478978.420431
N001125,2743438.118724,479230.647991
N001126,2743452.386961,479233.570126
N001127,2743485.20481,479249.264861
N001128,2743497.414458,479266.313196
N001129,2743448.220835,479242.801517
N001130,2744137.326658,479494.768346
N001131,2738611.271395,482776.388844
N001132,2743223.185359,479966.448473
N001133,2750074.069187,436205.925349
N001134,2747348.408121,436000.14907
N001135,2749264.004854,448525.097755
N001136,2748361.868867,441517.359467
N001137,2746100.708833,463051.984695
N001138,2748829.154106,461612.356851
N001139,2813960.985839,384498.809585
N001140,2799765.313911,389077.6494
N001141,2788013.529801,403339.292707
N001142,2789717.368559,408165.896498
N001143,2792822.319496,408897.235641
N001144,2796248.226113,409710.355597
N001145,2797059.49593,410230.738415
N001146,2800300.248825,412324.966359
N001147,2783853.87129,438900.823039
N001148,2777495.470588,435768.934146
N001149,2771927.910023,437944.725536
N001150,2770583.869808,440064.861132
N001151,2793260.538339,394232.788115
N001152,2789132.494176,395729.78634
N001153,2769417.941862,407585.209054
N001154,2775436.785361,411051.013854
N001155,2751115.053613,457967.808481
N001156,2750955.93148,457813.414677
N001157,2751461.675705,457900.987294
N001158,2816640.71497,382088.03468
N001159,2816998.765461,381855.452697
N001160,2813938.026033,419101.455984
N001161,2814302.367868,419202.800673
N001162,2828766.961898,386614.993918
N001163,2828742.283532,387163.400856
N001164,2803639.210391,413865.737774
N001165,2808215.708185,414888.249488
N001166,2808524.050355,415445.930293
N001167,2812154.161136,416243.936759
N001168,2813393.845257,418126.227673
N001169,2746285.168225,479992.357189
N001170,2746311.399366,480091.805738
N001171,2881025.336382,335260.939842
N001172,2882033.464789,338776.244115
