road_id,elevation,elevation_min,elevation_max,slope,terrain_type
R0001,387.45401188473625,351.5066937504417,410.1178658212421,0.5,FLAT
R0002,445.0714306409916,399.1014739094235,482.1590595878978,0.39,FLAT
R0003,423.1993941811405,388.25918173124705,452.5609517902545,17.41,VERY_STEEP
R0004,409.86584841970364,394.61432953951066,458.99662785966314,10.68,STEEP
R0005,365.60186404424365,343.2141956000361,410.5660158868921,6.57,MODERATE
R0006,365.59945203362025,347.52765410352197,389.9622831953463,0.79,FLAT
R0007,355.80836121681995,309.45530130814547,367.62782287571093,6.53,MODERATE
R0008,436.6176145774935,396.20161188599417,480.44266658209426,5.02,MODERATE
R0009,410.1115011743209,373.05556641792066,456.56087358690775,24.06,VERY_STEEP
R0010,420.8072577796045,398.7686049943397,463.632353516366,7.25,MODERATE
R0011,352.05844942958026,334.6966585475717,367.1764470663709,10.35,STEEP
R0012,446.9909852161994,406.73294169664297,496.90759059269095,2.9,GENTLE
R0013,433.24426408004217,404.277946244879,453.5876329421531,7.67,MODERATE
R0014,371.2339110678276,352.20232898180245,410.2021075801624,4.38,GENTLE
R0015,368.18249672071005,333.517617594099,414.5038917741389,5.64,MODERATE
R0016,368.3404509853434,356.7270968998053,387.76793555857176,2.16,GENTLE
R0017,380.42422429595376,357.37741413082364,426.7545664830364,5.6,MODERATE
R0018,402.47564316322376,373.73336337957835,424.85490633101847,0.7,FLAT
R0019,393.1945018642116,377.27616849983536,442.25103075957384,3.93,GENTLE
R0020,379.12291401980417,329.7367349161706,400.37331483502317,4.27,GENTLE
R0021,411.18528947223797,392.8213948886534,459.3227224625514,1.46,FLAT
R0022,363.9493860652042,348.73526086347357,376.0911721009112,0.54,FLAT
R0023,379.2144648535218,361.07306989804596,417.58534532031433,2.57,GENTLE
R0024,386.63618432936914,345.8737390029802,417.92062968284927,0.71,FLAT
R0025,395.60699842170357,368.58677205082984,424.72208150661277,2.22,GENTLE
R0026,428.51759613930136,395.90095854919986,447.457368709535,1.21,FLAT
R0027,369.967378215836,359.12701193638156,408.1912098068957,30.0,VERY_STEEP
R0028,401.4234438413612,390.0461914984286,419.0558234992135,3.69,GENTLE
R0029,409.2414568862042,381.40843489312357,441.35512872559497,1.58,FLAT
R0030,354.6450412719998,311.97883154393486,374.77485579360985,10.41,STEEP
R0031,410.75448519014384,365.3449300418412,458.97934038139806,20.01,VERY_STEEP
R0032,367.05241236872916,353.5841496649036,378.1976601221553,30.0,VERY_STEEP
R0033,356.50515929852793,324.970635214487,374.4942905029774,5.52,MODERATE
R0034,444.88855372533334,398.35936627416254,464.5809779808312,8.23,MODERATE
R0035,446.5632033074559,421.0442931315405,473.12591633816857,0.72,FLAT
